"County","Sector","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"SANTA CLARA","Total","     459.720764","     440.030824","     444.925698","     421.906168","     412.025150","     403.868406","     465.918432","     454.578263","     471.698778","     457.562024","     461.890120","     473.171289","     472.156070","     485.145519","     462.871867","     510.846970","     482.424955","     481.726618","     499.527872","     513.071832","     574.362514","     551.450358","     487.070793","     474.666708","     477.525183","     526.938062","     513.134696","     481.114757","     535.267636","     534.320322","   14430.918648"
"SANTA CRUZ","Total","      53.001479","      51.867889","      52.666961","      51.667088","      50.288550","      49.243736","      58.221935","      56.940230","      58.503303","      57.521477","      56.664193","      57.854396","      57.167374","      57.865369","      57.200010","      61.612136","      57.683082","      55.694885","      52.573046","      74.080073","      78.196414","      73.003295","      64.983264","      72.653824","      71.874271","      72.468134","      69.781022","      70.024859","      81.072234","      70.101640","    1852.476169"
"SHASTA","Total","      35.337190","      31.650100","      34.393733","      33.169423","      30.345222","      28.860289","      34.508145","      36.770242","      34.537685","      34.124321","      33.631649","      36.328039","      37.275853","      40.659936","      40.200135","      43.904184","      38.662769","      47.400808","      29.137867","      39.443222","      41.520382","      54.926455","      50.293946","      64.737396","      72.398658","      68.126481","      45.136163","      39.365364","      36.052409","      41.486077","    1234.384143"
"SIERRA","Total","","","","","","","","","","","","","       1.540720","       1.540720","       1.559264","       1.312376","       0.931484","       0.593351","       1.056598","","","","","","","","","","","",""
"SOLANO","Total","     236.122955","     242.027462","     228.487698","     253.714571","     222.190118","     229.465208","     215.738933","     217.504489","     210.281624","     226.385952","     219.757029","     238.524715","     204.970309","     224.982805","     227.679371","     248.285381","     182.166251","     164.610428","     200.240101","     206.675331","     200.365168","     202.338529","     189.617459","     152.139870","     185.881362","     214.492340","     220.403922","     170.462488","     200.488857","     211.676657","    6347.677383"
"SONOMA","Total","     110.980407","     111.341989","     113.305238","     105.966048","     101.437977","     102.106560","     118.618763","     115.085181","     120.715518","     115.203514","     115.289890","     117.166889","     116.891700","     118.394319","     116.206703","     123.649897","     117.098277","     124.857840","     120.309119","     123.920705","     134.309820","     126.251261","     107.527894","     104.692674","     105.673683","     120.345248","     117.110916","     106.951807","     113.635255","     108.044704","    3453.089796"
"STANISLAUS","Total","     195.126926","     190.285365","     186.948620","     182.895776","     181.431781","     184.273049","     188.098116","     187.624441","     187.100833","     174.250743","     177.477339","     178.582093","     181.596314","     198.165935","     179.499712","     207.052292","     174.217305","     153.035842","     156.152318","     192.833675","     209.208926","     202.341849","     180.717083","     178.883903","     175.815455","     172.744341","     182.955775","     168.847265","     174.842635","     162.104629","    5465.110336"
"SUTTER","Total","      21.020908","      20.296460","      20.896556","      18.003539","      18.920098","      18.832702","      20.693498","      21.898709","      22.026018","      21.521137","      22.016809","      21.152722","      21.262770","      22.016995","      21.079576","      23.202932","      21.309743","      19.664301","      19.275555","      28.163273","      30.702562","      50.443599","      26.105452","      24.269158","      22.920875","      24.667506","      20.176697","      22.269342","      29.382929","      23.453321","     697.645742"
"TEHAMA","Total","      10.822014","      10.492859","      11.530802","      10.683782","      10.761970","      10.566576","      11.405049","      11.945917","      12.189841","      11.049044","      11.606876","      11.758160","      11.928256","      13.344828","      12.629118","      14.432345","      13.482798","      10.550596","      13.396807","      20.569887","      20.336074","      19.399196","      19.255644","      20.144238","      18.292049","      20.341058","      19.877633","      23.526744","      20.325386","      17.111040","     443.756587"
"TRINITY","Total","       0.051224","       0.053294","       0.059224","       0.053882","       0.045431","       0.047887","       0.057023","       0.057514","       0.063535","       0.062427","       0.064261","       0.061229","       0.059759","       0.055282","       0.053401","       0.056591","       0.056293","       0.080208","       0.075214","       0.110127","       0.065257","       0.064256","       0.052117","       0.051884","       0.054510","       0.060435","       0.062975","       0.052265","       0.060486","       0.062281","       1.810272"
"TULARE","Total","     155.379677","     157.284459","     150.427003","     151.436636","     149.517635","     151.205303","     157.850676","     157.724410","     159.451752","     156.287728","     150.012239","     146.486039","     160.487561","     154.551008","     152.099501","     157.180818","     148.437304","     159.248128","     156.183494","     123.694827","     131.916152","     121.540748","     107.185880","     106.618172","      94.011443","     102.926003","      92.218483","      88.731213","      91.216318","      94.448868","    4085.759478"
"VENTURA","Total","     186.508888","     166.834859","     170.977292","     173.154685","     162.470102","     159.756105","     189.898764","     186.965435","     200.543318","     199.370233","     195.364707","     204.681501","     209.240024","     212.554725","     210.406063","     222.899216","     215.427268","     223.526626","     218.930847","     237.402319","     254.642164","     237.100559","     204.633140","     210.299201","     194.706475","     207.703695","     197.296331","     201.463877","     205.277725","     205.305675","    6065.341819"
"YOLO","Total","      62.018677","      59.795092","      59.923214","      56.570795","      54.812126","      54.869054","      60.360294","      60.097230","      62.985552","      62.312109","      61.985075","      61.816694","      60.139650","      64.327756","      64.008920","      72.233567","      59.691894","      44.487682","      43.562719","      84.686792","      95.634252","      90.789515","      79.341091","      74.033397","      80.253783","      83.937735","      76.569363","      74.764986","      76.735261","      93.349836","    2036.094111"
"YUBA","Total","      11.670146","      11.659687","      11.261339","       9.729389","      10.017766","      10.433544","      11.307490","      12.350863","      13.041646","      12.767904","      13.109682","      12.247984","      12.036120","      12.432760","      12.155727","      13.174544","      12.251698","      12.079201","      12.718637","      14.119617","      13.810562","      12.462862","      12.237486","      12.789187","      12.293299","      13.101394","      12.358533","      12.188586","      13.318858","      12.044238","     367.170749"
