"County","Sector","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"SAN BENITO","Total","     379.870420","     383.367898","     377.675898","     380.906658","     367.067939","     355.848172","     357.549938","     332.819617","     315.326742","     308.622008","     316.007261","     315.847958","     322.759428","     317.535914","     305.038404","     311.897233","     298.445943","     315.850172","     316.876340","     291.073185","     276.914782","     246.569722","     236.317328","     214.125736","     201.506763","     195.489127","     185.573936","     187.464310","     188.901368","     187.822386","    8791.072586"
"SAN BERNARDINO","Total","   14987.210320","   15371.557356","   15283.329154","   14946.910952","   14732.329242","   14732.812970","   14375.326790","   14349.899701","   13730.085003","   13481.923854","   13782.856116","   14814.822835","   14811.269756","   14639.105718","   14723.774105","   14346.203251","   13160.131448","   12643.596712","   11164.109264","   12851.857846","   12148.754291","   11618.048237","   11573.632418","   11355.430185","   10825.009253","   10730.913347","   11811.516626","   11840.208061","   11577.463836","   11448.538544","  397858.627191"
"SAN DIEGO","Total","   19047.674168","   19732.624780","   19667.445537","   19665.677640","   19894.493440","   19998.953248","   19687.538189","   19646.876022","   19121.587732","   19115.248625","   19561.140704","   19986.580880","   19644.849694","   19420.125927","   18467.109059","   18443.544278","   17541.499387","   16790.228410","   16349.306058","   17969.071118","   17433.727559","   16395.332414","   15979.618067","   15359.784906","   14898.338441","   14734.083640","   14421.606029","   14501.711432","   13769.286211","   14395.975483","  531641.039078"
"SAN FRANCISCO","Total","    5603.604207","    5624.688568","    5718.218196","    5745.486679","    5797.881842","    5842.809011","    5887.395782","    5877.931066","    5905.558357","    5758.908262","    5662.728419","    5730.281515","    5626.568366","    5334.035391","    5371.307770","    5081.741002","    4985.104540","    5054.560692","    5006.464405","    5282.290249","    5192.439029","    4819.112544","    5128.702537","    4999.840708","    4971.438397","    4860.186411","    4972.735135","    4912.237099","    4967.867806","    4984.472429","  160706.596414"
"SAN JOAQUIN","Total","    5583.337799","    5658.477632","    5626.568060","    5430.762061","    5141.428870","    5211.026533","    5524.571740","    5332.640629","    5247.945209","    5175.251966","    5298.315044","    5293.313213","    5422.173558","    5756.616652","    5710.267087","    5378.371660","    4886.911765","    5179.766464","    5077.295716","    5166.866140","    5361.360192","    4516.106970","    4741.837626","    4539.376481","    4389.994962","    3999.000190","    4257.827359","    3817.854385","    3670.416980","    3868.310187","  150263.993130"
"SAN LUIS OBISPO","Total","    1707.385625","    1767.876205","    1765.635818","    1732.686388","    1707.986733","    1723.671694","    1765.189483","    1723.692884","    1682.225913","    1665.382112","    1701.150334","    1735.894318","    1762.651494","    1600.322731","    1580.618754","    1595.403315","    1561.252280","    1463.369059","    1484.424339","    1424.807205","    1377.022365","    1279.453495","    1278.769631","    1227.735962","    1183.203853","    1164.075808","    1155.401121","    1119.039951","    1123.031746","    1146.272359","   45205.632975"
"SAN MATEO","Total","    4325.279371","    4255.613105","    4357.451774","    4341.760040","    4435.018942","    4457.049025","    4532.321362","    4514.512601","    4572.379430","    4767.122869","    4971.400641","    5076.606569","    5000.688097","    4671.565080","    4544.454753","    4762.923124","    4612.687040","    4214.898142","    4229.904576","    4808.803327","    4582.759809","    4433.761857","    4356.380630","    4119.976922","    4021.696721","    3942.191103","    3955.564639","    3907.967735","    3890.128738","    3967.579009","  132630.447031"
"SANTA BARBARA","Total","    2757.613073","    2832.535591","    2805.702475","    2853.615136","    3109.164696","    3411.313908","    3374.324957","    3264.105465","    3241.061329","    3232.714092","    3238.996663","    3266.182042","    3180.271760","    3188.555891","    3243.360900","    3165.663121","    2994.842988","    3021.727859","    2743.703797","    2865.719436","    2730.428412","    2735.337257","    2783.834708","    2668.441282","    2589.883229","    2565.208314","    2601.268984","    2567.872808","    2520.875703","    2484.634486","   88038.960362"
"SANTA CLARA","Total","   16664.460569","   16703.552664","   17016.727640","   16814.634749","   16794.808199","   16661.945532","   16572.119283","   16503.094613","   16545.430613","   16262.773364","   16557.226657","   16730.558637","   16457.502729","   16056.132226","   15564.376487","   15358.329790","   15181.901304","   14521.076428","   15396.884980","   16613.245186","   16416.668757","   15733.686331","   15333.587973","   14505.474483","   14088.277854","   13936.103081","   14093.051826","   14078.544905","   13960.470483","   14050.090718","  471172.738061"
"SANTA CRUZ","Total","    1200.684246","    1213.469939","    1223.065961","    1225.619041","    1234.760062","    1238.197757","    1276.210194","    1265.990405","    1260.586572","    1268.240119","    1278.891827","    1359.562294","    1410.070223","    1435.777536","    1400.446372","    1468.770074","    1363.991195","    1413.192296","    1467.997689","    1538.629098","    1486.135472","    1397.965948","    1432.349802","    1359.100696","    1368.596532","    1305.161159","    1312.201511","    1293.460713","    1272.012610","    1287.543982","   40058.681325"
